date,clam,treatment,foil,wet,dry,shell,length,width,depth,wet_shell,Sex,Corr.Sex
20623,193,baseline,0.2734,3.5433,0.9124,8.7685,38,28.5,20.5,15.9,F,Unk
20623,228,baseline,0.2446,6.8166,1.5829,16.2794,50,36,25,30.8,M,Unk
20623,266,baseline,0.2867,5.2741,1.3741,10.9099,41,33,22,20.5,M,Unk
20623,325,baseline,0.2476,5.5155,1.4297,8.6272,41.5,31,21.5,18.5,M,Unk
20623,343,baseline,0.2407,6.777,1.5116,13.2797,45,28,25,26.3,M,Unk
20623,382,baseline,0.257,7.2144,1.5996,13.6981,46,36,26,27.4,M,Unk
20623,423,baseline,0.2542,4.211,1.0178,8.3878,37.5,31,21,16.1,M,Unk
20623,459,baseline,0.2784,6.7087,1.4073,13.5802,44,36,26,28.1,M,Unk
30323,190,ambient,0.4168,7.44,0.8933,8.5707,45,34,23.5,23.6,M,Unk
30323,191,ambient,0.345,7.2265,1.756,15.5185,46.5,34,26,29.9,M,Unk
30323,192,ambient,0.3618,3.6626,1.8316,11.525,39,30,20.5,16.8,M,Unk
30323,320,ambient,0.4896,4.6704,1.1392,10.7278,41.5,32,23,20.5,M,Unk
30323,321,ambient,0.3643,6.0405,1.4231,9.7177,41,33,22,18.8,M,Unk
30323,322,ambient,0.4669,8.9078,2.1658,13.0625,44,35,24,24.5,M,Unk
30323,342,ambient,0.4146,5.9066,1.2196,11.5273,43.5,37,23.5,22,M,Unk
30323,344,ambient,0.3836,6.076,1.4359,10.5136,45,36,22,20.5,M,Unk
30323,347,ambient,0.4195,10.0175,2.2347,12.8067,50,40,25,28,M,Unk
30323,456,ambient,0.3914,12.919,2.5663,21.7389,51,40,28,40.1,M,Unk
30323,457,ambient,0.3791,8.0701,1.5367,12.5475,46,35,25,25.6,M,Unk
30323,458,ambient,0.5391,9.4483,2.3204,14.9908,49,38,25,29.1,M,Unk
30323,229,OA,0.3825,9.0355,2.2401,16.7847,50.5,37,27.5,35,M,Unk
30323,230,OA,0.443,9.1564,2.2947,16.5416,48,38,25.5,30.8,M,Unk
30323,231,OA,0.3517,2.8144,0.6557,9.4859,40.5,29.5,21.5,17.6,M,Unk
30323,267,OA,0.5154,4.8983,1.3141,9.4804,41,32,21,18.1,M,Unk
30323,269,OA,0.4125,6.8529,1.6828,8.6515,44,35,22,18.7,M,Unk
30323,271,OA,0.528,7.1278,1.6502,10.8953,45,34,24,19.5,M,Unk
30323,381,OA,0.4,4.1173,0.8936,9.6496,40,30,23,19.6,M,Unk
30323,384,OA,0.4161,6.7162,1.5124,10.4848,43,32.5,22,20.7,M,Unk
30323,385,OA,0.3707,9.2748,2.0515,12.9824,46,35,26,27.2,M,Unk
30323,419,OA,0.4554,9.2227,1.9452,17.5368,50,38,27,33.4,M,Unk
30323,420,OA,0.3734,8.5485,1.6377,17.7948,46,38.5,29,34.6,M,Unk
30323,421,OA,0.4598,7.4168,1.843,10.6077,48,39,23.5,21.5,M,Unk
40323,200,ambient,0.373,7.5754,1.840905666,13.215,,,,26.3,F,F
40323,217,ambient,0.3268,9.2639,1.897594139,15.5962,,,,31.6,M,M
40323,219,ambient,0.2964,5.9797,1.254524876,9.9539,,,,19.6,M,M
40323,225,ambient,0.326,4.3656,1.11414921,7.6725,,,,14.5,F,F
40323,304,ambient,0.3999,3.4603,0.985329999,5.1003,,,,9.6,F,F
40323,314,ambient,0.3964,7.9177,1.831214631,12.2091,,,,24.5,F,F
40323,318,ambient,0.4076,4.2345,1.066592859,6.5009,,,,14,M,M
40323,327,ambient,0.3752,7.8815,1.648544087,17.8411,,,,32.4,M,M
40323,361,ambient,0.3229,11.7493,2.567985175,17.9042,,,,34.7,F,F
40323,365,ambient,0.3362,11.547,2.393363297,18.4248,,,,37,M,M
40323,369,ambient,0.3037,6.794,1.636408227,9.2388,,,,18.6,F,F
40323,371,ambient,0.3302,6.1871,1.357144192,10.2535,,,,18.1,M,M
40323,471,ambient,0.3507,7.571,1.60274921,18.8599,,,,34.7,F,F
40323,473,ambient,0.3738,4.2377,1.023822315,11.7943,,,,21.3,F,F
40323,476,ambient,0.5117,7.1498,1.713938964,13.0036,,,,24.4,M,M
40323,490,ambient,0.4258,3.9436,0.992742806,7.0156,,,,14.1,M,M
40323,238,OA,0.3702,6.5215,1.67153256,8.5101,,,,17.8,F,F
40323,244,OA,0.3088,7.9876,1.757028718,15.2391,,,,30.5,F,F
40323,246,OA,0.339,9.7369,2.445172262,17.0108,,,,34.3,M,M
40323,248,OA,0.3535,5.0243,1.205314631,10.7929,,,,20.3,F,F
40323,249,OA,0.2714,4.5214,1.084886455,7.9807,,,,14.3,M,M
40323,251,OA,0.4288,8.454,2.129539069,15.729,,,,30.6,F,F
40323,272,OA,0.3813,6.2387,1.360480052,9.2064,,,,19.5,M,M
40323,275,OA,0.3036,8.6811,1.905782613,17.4331,,,,34.8,F,F
40323,278,OA,0.4315,3.9688,0.976819753,9.7754,,,,17.8,F,F
40323,299,OA,0.3001,7.0874,1.474999262,17.3616,,,,30.7,M,M
40323,404,OA,0.3425,5.6827,1.270842911,10.1978,,,,20.7,M,M
40323,416,OA,0.3818,7.3823,1.784194139,17.1853,,,,31.6,M,M
40323,426,OA,0.3411,12.013,2.476835122,20.838,,,,39.8,F,F
40323,428,OA,0.3581,7.1978,1.742774929,11.6706,,,,23,F,F
40323,431,OA,0.3888,5.6703,1.295312069,8.3112,,,,17,M,M
40323,455,OA,0.3568,8.5792,1.90459542,19.0352,,,,35.9,M,M
