ID,B_treat,L_treat,day,silo,container,length,normality
BG9,T,T,2,0,4,41.7,a
BG10,T,T,2,0,4,45.8,a
BG7,T,T,2,0,4,45.8,a
BG10,T,T,2,0,4,46.4,a
BG10,T,T,2,0,4,50.5,a
BG5,C,T,2,0,4,51.5,a
BG4,C,T,2,0,4,51.6,a
BG6,T,T,7,1,4,51.6,a
BG5,C,C,2,0,1,52.1,a
BG6,T,T,2,0,4,53.2,a
BG10,T,T,2,0,4,53.6,a
BG8,T,T,2,0,4,54.8,a
BG9,T,T,7,1,4,55.05,a
BG10,T,T,2,0,4,55.3,a
BG5,C,C,2,0,1,55.6,a
BG10,T,T,2,0,4,55.8,a
BG5,C,T,2,0,4,56,a
BG7,T,T,2,0,4,56.3,n
BG8,T,T,7,1,4,56.75,a
BG6,T,T,2,0,4,57.1,a
BG10,T,T,2,0,4,57.4,a
BG9,T,T,2,0,4,57.4,a
BG6,T,T,7,2,5,57.5,a
BG8,T,T,2,0,4,57.8,a
BG6,T,T,7,3,6,57.85,n
BG8,T,T,2,0,4,57.9,a
BG5,C,T,2,0,4,58.2,a
BG6,T,T,7,1,4,58.25,a
BG7,T,C,2,0,1,58.3,n
BG6,T,T,2,0,4,58.4,n
BG3,C,C,2,0,1,58.5,a
BG6,T,T,2,0,4,58.5,a
BG6,T,T,2,0,4,58.6,a
BG7,T,T,2,0,4,58.7,a
BG7,T,T,2,0,4,58.7,a
BG5,C,T,2,0,4,58.8,a
BG7,T,T,2,0,4,58.8,n
BG8,T,T,2,0,4,58.9,a
BG7,T,T,7,1,4,58.95,n
BG7,T,T,7,3,6,59,n
BG9,T,T,2,0,4,59.2,a
BG7,T,T,2,0,4,59.4,a
BG9,T,T,2,0,4,59.4,a
BG9,T,T,2,0,4,59.4,a
BG10,T,T,2,0,4,59.5,a
BG4,C,T,2,0,4,59.5,a
BG8,T,T,7,1,4,59.5,n
BG10,T,T,2,0,4,59.7,a
BG6,T,T,7,3,6,60.05,a
BG5,C,C,2,0,1,60.1,a
BG10,T,C,2,0,1,60.2,a
BG10,T,C,2,0,1,60.2,n
BG10,T,T,2,0,4,60.2,a
BG8,T,T,2,0,4,60.2,a
BG7,T,T,2,0,4,60.3,n
BG7,T,T,2,0,4,60.4,n
BG8,T,T,7,2,5,60.4,n
BG9,T,T,7,2,5,60.45,n
BG10,T,T,2,0,4,60.5,a
BG10,T,C,2,0,1,60.6,a
BG8,T,T,7,3,6,60.65,n
BG10,T,T,2,0,4,60.8,a
BG10,T,T,2,0,4,60.8,n
BG5,C,T,2,0,4,60.8,a
BG6,T,T,2,0,4,60.8,a
BG8,T,T,7,3,6,60.9,a
BG9,T,T,7,3,6,61.05,n
BG5,C,C,2,0,1,61.1,a
BG4,C,T,2,0,4,61.5,a
BG9,T,T,2,0,4,61.5,a
BG8,T,T,7,3,6,61.55,n
BG8,T,C,2,0,1,61.7,n
BG8,T,T,7,3,6,61.75,n
BG9,T,T,2,0,4,61.8,n
BG6,T,T,7,2,5,61.8,a
BG5,C,T,2,0,4,61.9,a
BG10,T,T,2,0,4,62,n
BG6,T,T,2,0,4,62,a
BG4,C,T,7,2,5,62.05,a
BG7,T,T,2,0,4,62.1,a
BG8,T,T,2,0,4,62.1,a
BG5,C,T,7,2,5,62.15,n
BG5,C,C,2,0,1,62.2,a
BG10,T,T,2,0,4,62.3,n
BG5,C,T,2,0,4,62.3,a
BG8,T,T,7,3,6,62.3,n
BG9,T,T,2,0,4,62.4,a
BG9,T,T,2,0,4,62.4,a
BG9,T,T,2,0,4,62.4,a
BG6,T,T,2,0,4,62.5,a
BG6,T,T,7,3,6,62.6,a
BG9,T,T,7,2,5,62.6,n
BG5,C,T,2,0,4,62.7,a
BG6,T,T,2,0,4,62.7,n
BG7,T,C,2,0,1,62.7,n
BG6,T,T,2,0,4,62.8,n
BG8,T,T,7,3,6,62.8,n
BG6,T,T,2,0,4,62.9,a
BG7,T,C,2,0,1,62.9,n
BG8,T,T,2,0,4,62.9,a
BG7,T,T,7,3,6,62.95,n
BG5,C,C,2,0,1,63,a
BG6,T,T,2,0,4,63.1,a
BG7,T,T,2,0,4,63.1,a
BG9,T,T,2,0,4,63.1,a
BG5,C,C,2,0,1,63.2,a
BG5,C,C,2,0,1,63.2,a
BG10,T,T,2,0,4,63.3,n
BG9,T,T,2,0,4,63.3,a
BG6,T,T,7,3,6,63.3,n
BG8,T,T,7,3,6,63.3,n
BG10,T,C,2,0,1,63.6,a
BG10,T,T,2,0,4,63.6,a
BG4,C,T,2,0,4,63.6,a
BG9,T,T,2,0,4,63.6,n
BG7,T,T,2,0,4,63.7,n
BG8,T,T,7,3,6,63.75,a
BG8,T,T,7,3,6,63.75,a
BG4,C,T,2,0,4,63.8,n
BG5,C,C,2,0,1,63.8,a
BG10,T,T,2,0,4,63.9,a
BG6,T,C,2,0,1,63.9,a
BG8,T,T,2,0,4,63.9,a
BG5,C,C,2,0,1,64,a
BG8,T,T,2,0,4,64,n
BG7,T,C,2,0,1,64.1,n
BG8,T,T,2,0,4,64.1,n
BG9,T,T,2,0,4,64.1,a
BG9,T,T,2,0,4,64.1,n
BG6,T,T,2,0,4,64.2,a
BG6,T,T,7,1,4,64.25,a
BG8,T,T,7,3,6,64.25,n
BG8,T,T,2,0,4,64.3,a
BG8,T,T,2,0,4,64.4,n
BG4,C,T,2,0,4,64.5,n
BG5,C,C,2,0,1,64.5,a
BG7,T,C,2,0,1,64.5,n
BG10,T,T,2,0,4,64.7,a
BG7,T,T,2,0,4,64.7,a
BG9,T,T,2,0,4,64.7,n
BG8,T,T,7,2,5,64.7,n
BG6,T,T,7,3,6,64.85,a
BG7,T,C,2,0,1,64.9,n
BG9,T,T,2,0,4,64.9,a
BG8,T,T,7,2,5,64.95,n
BG8,T,T,2,0,4,65.1,n
BG6,T,C,2,0,1,65.2,n
BG9,T,T,7,1,4,65.25,n
BG7,T,T,2,0,4,65.3,n
BG7,T,T,7,2,5,65.3,n
BG9,T,T,7,3,6,65.35,n
BG4,C,T,2,0,4,65.5,n
BG5,C,C,2,0,1,65.6,a
BG9,T,T,7,3,6,65.6,a
BG3,C,T,2,0,4,65.7,a
BG5,C,T,2,0,4,65.8,a
BG3,C,T,2,0,4,65.9,a
BG5,C,T,2,0,4,65.9,n
BG4,C,T,7,1,4,65.9,n
BG10,T,C,2,0,1,66,a
BG5,C,T,2,0,4,66,a
BG5,C,T,2,0,4,66,a
BG6,T,C,2,0,1,66,a
BG7,T,T,2,0,4,66,n
BG5,C,T,7,2,5,66,a
BG8,T,T,7,3,6,66.05,n
BG5,C,T,2,0,4,66.1,a
BG7,T,C,2,0,1,66.1,n
BG6,T,T,7,3,6,66.1,a
BG6,T,T,7,1,4,66.15,a
BG9,T,T,7,3,6,66.15,a
BG8,T,T,2,0,4,66.3,n
BG9,T,T,2,0,4,66.3,a
BG10,T,C,2,0,1,66.4,n
BG3,C,T,2,0,4,66.4,a
