Fatty Acid,Category,No.DoubleBonds,MatchFA,Chain Length
CE (14:0),Cholesteryl Ester,0,CE..14.0.,14
CE (14:1),Cholesteryl Ester,1,CE..14.1.,14
CE (15:0),Cholesteryl Ester,0,CE..15.0.,15
CE (16:0),Cholesteryl Ester,0,CE..16.0.,16
CE (16:1),Cholesteryl Ester,1,CE..16.1.,16
CE (17:0),Cholesteryl Ester,0,CE..17.0.,17
CE (18:0),Cholesteryl Ester,0,CE..18.0.,18
CE (18:1),Cholesteryl Ester,1,CE..18.1.,18
CE (18:2),Cholesteryl Ester,2,CE..18.2.,18
CE (18:3),Cholesteryl Ester,3,CE..18.3.,18
CE (18:4),Cholesteryl Ester,4,CE..18.4.,18
CE (20:0),Cholesteryl Ester,0,CE..20.0.,20
CE (20:1),Cholesteryl Ester,1,CE..20.1.,20
CE (20:2),Cholesteryl Ester,2,CE..20.2.,20
CE (20:3),Cholesteryl Ester,3,CE..20.3.,20
CE (20:4),Cholesteryl Ester,4,CE..20.4.,20
CE (20:5),Cholesteryl Ester,5,CE..20.5.,20
CE (22:0),Cholesteryl Ester,0,CE..22.0.,22
CE (22:1),Cholesteryl Ester,1,CE..22.1.,22
CE (22:2),Cholesteryl Ester,2,CE..22.2.,22
CE (22:4),Cholesteryl Ester,4,CE..22.4.,22
CE (22:5),Cholesteryl Ester,5,CE..22.5.,22
CE (22:6),Cholesteryl Ester,6,CE..22.6.,22
CE (24:0),Cholesteryl Ester,0,CE..24.0.,24
CE (24:1),Cholesteryl Ester,1,CE..24.1.,24
Cer d18:0 (16:0),Ceramide,0,Cer.d18.0..16.0.,16
Cer d18:0 (18:1),Ceramide,1,Cer.d18.0..18.1.,18
Cer d18:0 (22:0),Ceramide,0,Cer.d18.0..22.0.,22
Cer d18:1 (16:0),Ceramide,0,Cer.d18.1..16.0.,16
Cer d18:1 (18:0),Ceramide,0,Cer.d18.1..18.0.,18
Cer d18:1 (20:0),Ceramide,0,Cer.d18.1..20.0.,20
Cer d18:1 (22:0),Ceramide,0,Cer.d18.1..22.0.,22
Cer d18:1 (24:0),Ceramide,0,Cer.d18.1..24.0.,24
Cer d18:1 (24:1),Ceramide,1,Cer.d18.1..24.1.,24
DG (12:0),Diglyceride,0,DG..12.0.,12
DG (14:0),Diglyceride,0,DG..14.0.,14
DG (16:0),Diglyceride,0,DG..16.0.,16
DG (16:1),Diglyceride,1,DG..16.1.,16
DG (18:0),Diglyceride,0,DG..18.0.,18
DG (18:1),Diglyceride,1,DG..18.1.,18
DG (18:2),Diglyceride,2,DG..18.2.,18
DG (18:3),Diglyceride,3,DG..18.3.,18
DG (20:0),Diglyceride,0,DG..20.0.,20
DG (20:1),Diglyceride,1,DG..20.1.,20
DG (20:2),Diglyceride,2,DG..20.2.,20
DG (20:3),Diglyceride,3,DG..20.3.,20
