mockID,sex,spawned,treatment
McY_1,m,y,c
McY_2,m,y,c
McY_3,m,y,c
McY_4,m,y,c
McY_5,m,y,c
McY_6,m,y,c
McY_7,m,y,c
McY_8,m,y,c
McY_9,m,y,c
McY_10,m,y,c
McY_11,m,y,c
McY_12,m,y,c
McY_13,m,y,c
McY_14,m,y,c
McY_15,m,y,c
McY_16,m,y,c
McY_17,m,y,c
McY_18,m,y,c
McY_19,m,y,c
McY_20,m,y,c
McY_21,m,y,c
McY_22,m,y,c
McY_23,m,y,c
McY_24,m,y,c
McY_25,m,y,c
McY_26,m,y,c
McY_27,m,y,c
McN_1,m,n,c
McN_2,m,n,c
McN_3,m,n,c
McN_4,m,n,c
McN_5,m,n,c
McN_6,m,n,c
McN_7,m,n,c
McN_8,m,n,c
McN_9,m,n,c
McN_10,m,n,c
McN_11,m,n,c
McN_12,m,n,c
McN_13,m,n,c
McN_14,m,n,c
McN_15,m,n,c
FcY_1,f,y,c
FcY_2,f,y,c
FcY_3,f,y,c
FcY_4,f,y,c
FcY_5,f,y,c
FcY_6,f,y,c
FcY_7,f,y,c
FcY_8,f,y,c
FcY_9,f,y,c
FcY_10,f,y,c
FcY_11,f,y,c
FcY_12,f,y,c
FcY_13,f,y,c
FcY_14,f,y,c
FcY_15,f,y,c
FcY_16,f,y,c
FcY_17,f,y,c
FcY_18,f,y,c
FcY_19,f,y,c
FcY_20,f,y,c
FcY_21,f,y,c
FcY_22,f,y,c
FcY_23,f,y,c
FcY_24,f,y,c
FcY_25,f,y,c
FcY_26,f,y,c
FcY_27,f,y,c
FcY_28,f,y,c
FcY_29,f,y,c
FcN_1,f,n,c
FcN_2,f,n,c
FcN_3,f,n,c
FcN_4,f,n,c
FcN_5,f,n,c
FcN_6,f,n,c
FcN_7,f,n,c
FcN_8,f,n,c
FcN_9,f,n,c
FcN_10,f,n,c
FcN_11,f,n,c
FcN_12,f,n,c
FcN_13,f,n,c
FcN_14,f,n,c
FcN_15,f,n,c
FcN_16,f,n,c
FcN_17,f,n,c
FcN_18,f,n,c
FcN_19,f,n,c
FcN_20,f,n,c
FcN_21,f,n,c
FcN_22,f,n,c
FcN_23,f,n,c
FcN_24,f,n,c
FcN_25,f,n,c
FcN_26,f,n,c
FcN_27,f,n,c
FcN_28,f,n,c
FcN_29,f,n,c
FcN_30,f,n,c
FcN_31,f,n,c
FcN_32,f,n,c
FcN_33,f,n,c
FcN_34,f,n,c
FcN_35,f,n,c
FcN_36,f,n,c
FcN_37,f,n,c
FcN_38,f,n,c
FcN_39,f,n,c
FcN_40,f,n,c
FcN_41,f,n,c
FcN_42,f,n,c
FcN_43,f,n,c
FcN_44,f,n,c
FcN_45,f,n,c
MtY_1,m,y,t
MtY_2,m,y,t
MtY_3,m,y,t
MtY_4,m,y,t
MtY_5,m,y,t
MtY_6,m,y,t
MtY_7,m,y,t
MtY_8,m,y,t
MtY_9,m,y,t
MtY_10,m,y,t
MtY_11,m,y,t
MtY_12,m,y,t
MtY_13,m,y,t
MtY_14,m,y,t
MtY_15,m,y,t
MtY_16,m,y,t
MtY_17,m,y,t
MtY_18,m,y,t
MtY_19,m,y,t
MtY_20,m,y,t
MtY_21,m,y,t
MtY_22,m,y,t
MtY_23,m,y,t
MtY_24,m,y,t
MtY_25,m,y,t
MtY_26,m,y,t
MtY_27,m,y,t
MtY_28,m,y,t
MtY_29,m,y,t
MtY_30,m,y,t
MtN_1,m,n,t
MtN_2,m,n,t
MtN_3,m,n,t
FtY_1,f,y,t
FtY_2,f,y,t
FtY_3,f,y,t
FtY_4,f,y,t
FtY_5,f,y,t
FtY_6,f,y,t
FtY_7,f,y,t
FtY_8,f,y,t
FtY_9,f,y,t
FtY_10,f,y,t
FtY_11,f,y,t
FtY_12,f,y,t
FtY_13,f,y,t
FtY_14,f,y,t
FtY_15,f,y,t
FtY_16,f,y,t
FtY_17,f,y,t
FtY_18,f,y,t
FtY_19,f,y,t
FtY_20,f,y,t
FtY_21,f,y,t
FtY_22,f,y,t
FtY_23,f,y,t
FtY_24,f,y,t
FtY_25,f,y,t
FtY_26,f,y,t
FtY_27,f,y,t
FtY_28,f,y,t
FtY_29,f,y,t
FtY_30,f,y,t
FtY_31,f,y,t
FtY_32,f,y,t
FtY_33,f,y,t
FtY_34,f,y,t
FtY_35,f,y,t
FtY_36,f,y,t
FtY_37,f,y,t
FtY_38,f,y,t
FtY_39,f,y,t
FtY_40,f,y,t
FtY_41,f,y,t
FtY_42,f,y,t
FtY_43,f,y,t
FtY_44,f,y,t
FtY_45,f,y,t
FtY_46,f,y,t
FtY_47,f,y,t
FtN_1,f,n,t
FtN_2,f,n,t
FtN_3,f,n,t
FtN_4,f,n,t
FtN_5,f,n,t
FtN_6,f,n,t
FtN_7,f,n,t
FtN_8,f,n,t
FtN_9,f,n,t
FtN_10,f,n,t
FtN_11,f,n,t
FtN_12,f,n,t
FtN_13,f,n,t
FtN_14,f,n,t
FtN_15,f,n,t
FtN_16,f,n,t
FtN_17,f,n,t
FtN_18,f,n,t
FtN_19,f,n,t
FtN_20,f,n,t
FtN_21,f,n,t
FtN_22,f,n,t
FtN_23,f,n,t
FtN_24,f,n,t
FtN_25,f,n,t
FtN_26,f,n,t
FtN_27,f,n,t
FtN_28,f,n,t
FtN_29,f,n,t
