species,Tx,ID,MT,nuclear
M,C,216,0.558983707315185,0.441016292684815
M,C,218,0.585536531281582,0.414463468718418
M,C,226,0.520026692878525,0.479973307121475
M,C,306,0.570388346944229,0.429611653055771
M,C,329,0.650360787993849,0.349639212006151
M,C,334,0.554848201060729,0.445151798939271
M,C,337,0.512057656724497,0.487942343275503
M,C,339,0.438615017593006,0.561384982406994
M,C,358,0.538269400616522,0.461730599383479
M,C,360,0.529060955486123,0.470939044513877
M,C,363,0.570259876015272,0.429740123984728
M,C,373,0.544543905087109,0.455456094912891
M,C,482,0.576823504429551,0.423176495570449
M,C,488,0.544943663399443,0.455056336600557
M,T,18,0.418427863638235,0.581572136361765
M,C,193,0.487659975818366,0.512340024181634
M,T,20,0.463486306776293,0.536513693223707
M,T,22,0.503205743605569,0.496794256394431
M,T,235,0.600539215338222,0.399460784661778
M,T,245,0.603789967584331,0.396210032415669
M,T,29,0.539612390862925,0.460387609137075
M,T,31,0.483100930019159,0.516899069980841
M,T,32,0.436357918973404,0.563642081026596
M,T,399,0.486378977017495,0.513621022982505
M,T,43,0.516179693860735,0.483820306139266
M,T,44,0.472588606187806,0.527411393812194
M,T,500,0.527981002634797,0.472018997365203
M,T,7,0.458127510264338,0.541872489735662
M,T,8,0.530199017893593,0.469800982106407
M,T,83,0.522153745090234,0.477846254909766
